Date,Share Turnover,Normalized Share Turnover
23/04/2021,0.056473477499999994,-0.6541100081691675
30/04/2021,0.047450509749999994,-0.7248909126438682
07/05/2021,0.0708171575,-0.5415906384866508
14/05/2021,0.10255819024999999,-0.2925972840544468
21/05/2021,0.05138274675,-0.694044377536959
28/05/2021,0.05965035925000001,-0.6291888769067654
04/06/2021,0.088745511,-0.400951204585076
11/06/2021,0.11795559674999999,-0.17181192952022095
18/06/2021,0.079027802,-0.4771820248096013
25/06/2021,0.08544338875000002,-0.4268547881971345
02/07/2021,0.07403927575,-0.5163146483270451
09/07/2021,0.041496345999999996,-0.7715985045684294
16/07/2021,0.0603579265,-0.6236383472673709
23/07/2021,0.0363319785,-0.8121105193309501
30/07/2021,0.033408059500000004,-0.8350472777418135
06/08/2021,0.041326341,-0.7729321131990511
13/08/2021,0.05907997425,-0.6336632768289864
20/08/2021,0.065593842,-0.5825650723636558
27/08/2021,0.053926378250000004,-0.674090794280459
03/09/2021,0.09927303875,-0.31836774017808955
10/09/2021,0.0765316155,-0.49676342453338257
17/09/2021,0.1248543835,-0.11769421797868498
24/09/2021,0.08306415525,-0.4455187470798989
01/10/2021,0.06626818550000001,-0.5772751672926069
08/10/2021,0.06557945224999999,-0.582677953130648
15/10/2021,0.043259861000000004,-0.7577645654241049
22/10/2021,0.037806724,-0.8005418400169855
29/10/2021,0.045545316,-0.7398362544162076
05/11/2021,0.05936429825,-0.6314328898386455
12/11/2021,0.09042627575,-0.38776640192253803
19/11/2021,0.0773638445,-0.4902349825637129
26/11/2021,0.055586663249999994,-0.6610666455478229
03/12/2021,0.11896002175,-0.1639326915636182
10/12/2021,0.1158604655,-0.18824724093626916
17/12/2021,0.10964053400000001,-0.23703965486689424
24/12/2021,0.04531879575,-0.7416131983908589
31/12/2021,0.04817555725,-0.7192032587300967
07/01/2022,0.06925412225,-0.5538519090337877
14/01/2022,0.06857676625,-0.5591654457391986
21/01/2022,0.057853726,-0.6432826130219501
28/01/2022,0.09441572250000001,-0.35647108344834133
04/02/2022,0.0646314825,-0.5901143264147767
11/02/2022,0.05902381225,-0.6341038410942313
18/02/2022,0.099299625,-0.3181591836506
25/02/2022,0.08507671600000001,-0.42973116209210116
04/03/2022,0.1093742075,-0.2391288600018214
11/03/2022,0.08952561075,-0.3948316918687097
18/03/2022,0.0865588215,-0.41810474706729656
25/03/2022,0.061980559000000005,-0.6109095645472902
01/04/2022,0.09383964325,-0.3609901520623357
08/04/2022,0.097260458,-0.33415548205640583
15/04/2022,0.04572852375,-0.738399076470872
22/04/2022,0.056430737499999994,-0.6544452832073886
29/04/2022,0.06375279875,-0.5970071838753634
06/05/2022,0.07018950524999999,-0.5465142728364003
13/05/2022,0.1254997165,-0.11263188652710998
20/05/2022,0.06499712075,-0.587246067681884
27/05/2022,0.060200318249999996,-0.6248747092711777
03/06/2022,0.132462424,-0.05801274700477464
10/06/2022,0.07840936375,-0.4820333796974375
17/06/2022,0.071030069,-0.5399204487042407
24/06/2022,0.083263952,-0.443951436293921
01/07/2022,0.0626600285,-0.6055794484363274
08/07/2022,0.0575389325,-0.6457520187950957
15/07/2022,0.04836971275,-0.7176802008760179
22/07/2022,0.056260675999999996,-0.6557793350537253
29/07/2022,0.04102090525,-0.7753281118596811
05/08/2022,0.058380637,-0.6391492460199824
12/08/2022,0.07033223025,-0.5453946628731315
19/08/2022,0.04811359375,-0.7196893330125209
26/08/2022,0.04337647850000001,-0.7568497564215371
02/09/2022,0.080085036,-0.4688885252831948
09/09/2022,0.07673504975,-0.4951675792843366
16/09/2022,0.07191333725,-0.5329916280145308
23/09/2022,0.058042391,-0.6418026255374863
30/09/2022,0.12729162200000002,-0.09857523736938772
07/10/2022,0.058480755,-0.6383638677729861
14/10/2022,0.0540534215,-0.6730942002116832
21/10/2022,0.04469016725,-0.7465444909590468
28/10/2022,0.046266048000000004,-0.7341824535540844
04/11/2022,0.05066002175,-0.6997138125392595
11/11/2022,0.07260008375,-0.52760442728838
18/11/2022,0.04992067925,-0.7055136039511911
25/11/2022,0.028980353999999996,-0.8697805283441564
02/12/2022,0.05052920475,-0.7007400098877612
09/12/2022,0.06459516175,-0.5903992454799256
16/12/2022,0.06093897449999999,-0.6190803011651651
23/12/2022,0.0515402775,-0.6928086234839116
30/12/2022,0.041555406,-0.771135206867041
06/01/2023,0.036384678749999996,-0.8116971108533411
13/01/2023,0.17990687875,0.314166508486193
20/01/2023,0.053534805500000004,-0.6771624968710668
27/01/2023,0.12036028900000001,-0.1529482588129523
03/02/2023,0.634725858,3.8820057843802185
10/02/2023,0.6709203610000001,4.165934501664204
17/02/2023,0.3524055675,1.6673369451670603
24/02/2023,0.1773916765,0.29443593921847044
03/03/2023,0.331663394,1.5046244273149192
10/03/2023,0.32567151525,1.457620979094932
17/03/2023,0.19285086399999996,0.415705936409138
24/03/2023,0.22961049025,0.7040677776810359
31/03/2023,0.30093728325,1.2635926548279983
07/04/2023,0.66497993,4.1193346366530985
14/04/2023,0.318482586,1.4012272371889354
21/04/2023,0.21685336049999998,0.603994142572885
28/04/2023,0.1691955265,0.230141028022504
05/05/2023,0.13716109375,-0.02115391031737591
12/05/2023,0.18367746775,0.343744991665672
19/05/2023,0.4685852427500001,2.578711420130911
26/05/2023,0.491003796,2.754574342399389
02/06/2023,0.795245866,5.141209149318123
09/06/2023,0.48754137225,2.7274132695140643
16/06/2023,0.60712436625,3.665485166658184
23/06/2023,0.346297104,1.6194189448527296
30/06/2023,0.32802059525,1.476048398065085
07/07/2023,0.25072842549999996,0.8697279683243154
14/07/2023,0.29997584775,1.2560506491188361
21/07/2023,0.292258158,1.195509031760165
28/07/2023,0.25668546875,0.9164581485612904
04/08/2023,0.31141238800000004,1.3457648856521898
11/08/2023,0.23243968199999998,0.7262614457230568
18/08/2023,0.1550378795,0.11908099903220501
25/08/2023,0.18789349100000005,0.3768176953691039
01/09/2023,0.16567715575,0.20254107744500902
08/09/2023,0.19946119824999997,0.4675608748350338
15/09/2023,0.15595362375,0.12626457854599699
22/09/2023,0.12152295925,-0.14382766188952584
29/09/2023,0.12752637125,-0.09673374079086393
06/10/2023,0.1048294745,-0.27478013586236294
13/10/2023,0.147107973,0.05687464187551359
20/10/2023,0.112510537,-0.21452584191603855
27/10/2023,0.09564434399999999,-0.3468331302342159
03/11/2023,0.14711160225,0.056903111621242716
10/11/2023,0.119441486,-0.16015583277043088
17/11/2023,0.15742667575,0.13781997315530023
24/11/2023,0.1567685925,0.13265762203699435
01/12/2023,0.19128115199999998,0.4033922899235025
08/12/2023,0.246449038,0.8361582021187646
15/12/2023,0.20411590575,0.5040748485123945
22/12/2023,0.18077567374999998,0.32098179339099564
29/12/2023,0.119463376,-0.1599841160978371
05/01/2024,0.10716852974999999,-0.2564313563035203
12/01/2024,0.13363157475,-0.04884131363106279
19/01/2024,0.09846761975,-0.32468587040759295
26/01/2024,0.121400801,-0.14478593544913673
02/02/2024,0.09996432849999999,-0.3129448998095103
09/02/2024,0.2645813695,0.9783977467303594
16/02/2024,0.21272471125,0.5716068464780061
23/02/2024,0.11330903125,-0.20826203306746452
01/03/2024,0.445482904,2.397484524777558
08/03/2024,0.38626534575,1.9329508536117401
15/03/2024,0.290932405,1.1851091279757315
22/03/2024,0.148318317,0.06636921676696517
29/03/2024,0.10620361675000001,-0.26400064135160173
05/04/2024,0.116516191,-0.18310338524897313
12/04/2024,0.10361606100000001,-0.2842987895261546
19/04/2024,0.114144425,-0.20170876513435995
26/04/2024,0.1031725205,-0.2877781544791283
03/05/2024,0.10643367274999999,-0.26219596109439586
10/05/2024,0.12504050575,-0.11623417716252817
17/05/2024,0.1205783275,-0.1512378501461025
24/05/2024,0.092420905,-0.3721194810514428
31/05/2024,0.267894268,1.0043858649149644
07/06/2024,0.16522266925,0.19897584631121268
14/06/2024,0.12124831325,-0.14598212955792228
21/06/2024,0.10509928375,-0.27266361020475544
28/06/2024,0.10211708575,-0.29605753974225635
05/07/2024,0.06186330775,-0.6118293450181657
12/07/2024,0.11944081375000001,-0.1601611062529868
19/07/2024,0.11135788,-0.22356788964020272
26/07/2024,0.0841100585,-0.4373141319156666
02/08/2024,0.0898840175,-0.39202016082507524
09/08/2024,0.1231383425,-0.13115574609903874
16/08/2024,0.09096234375000001,-0.383561202596635
23/08/2024,0.181241598,0.32463674825124084
30/08/2024,0.1104923495,-0.23035756609010916
06/09/2024,0.1802293055,0.31669579348688887
13/09/2024,0.13118269275000002,-0.06805163197801832
20/09/2024,0.1665332585,0.2092567976655849
27/09/2024,0.08857440225,-0.4022934716111922
04/10/2024,0.08384036824999999,-0.4394297240746886
11/10/2024,0.1043943375,-0.2781935793416891
18/10/2024,0.11128175025,-0.2241650914380738
25/10/2024,0.07482619475,-0.5101416418272349
01/11/2024,0.07683258525,-0.494402459525553
